REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Nova Scotia,2016A000212,Grocery stores [4451],Unadjusted,Dollars,81,thousands,3,v52367459,4.14.1,226076,A,,,0
Sep-19,Nova Scotia,2016A000212,Supermarkets and other grocery (except convenience) stores? [44511],Unadjusted,Dollars,81,thousands,3,v52367460,4.15.1,200525,A,,,0
Sep-19,Nova Scotia,2016A000212,Convenience stores [44512],Unadjusted,Dollars,81,thousands,3,v52367461,4.16.1,25552,D,,,0
Sep-19,Nova Scotia,2016A000212,Specialty food stores [4452],Unadjusted,Dollars,81,thousands,3,v52367462,4.17.1,,x,,,0
Sep-19,Nova Scotia,2016A000212,"Beer, wine and liquor stores [4453]",Unadjusted,Dollars,81,thousands,3,v52367463,4.18.1,,x,,,0
Sep-19,Nova Scotia,2016A000212,Health and personal care stores [446],Unadjusted,Dollars,81,thousands,3,v52367464,4.19.1,100090,A,,,0
Sep-19,Nova Scotia,2016A000212,Gasoline stations [447],Unadjusted,Dollars,81,thousands,3,v52367466,4.20.1,173994,B,,,0
Sep-19,Nova Scotia,2016A000212,Clothing and clothing accessories stores [448],Unadjusted,Dollars,81,thousands,3,v52367467,4.21.1,46543,A,,,0
Sep-19,Nova Scotia,2016A000212,Clothing stores [4481],Unadjusted,Dollars,81,thousands,3,v52367468,4.22.1,38765,A,,,0
Sep-19,Nova Scotia,2016A000212,Shoe stores [4482],Unadjusted,Dollars,81,thousands,3,v52367469,4.23.1,4696,B,,,0
Sep-19,Nova Scotia,2016A000212,"Jewellery, luggage and leather goods stores [4483]",Unadjusted,Dollars,81,thousands,3,v52367470,4.24.1,3083,A,,,0
Sep-19,Nova Scotia,2016A000212,"Sporting goods, hobby, book and music stores [451]",Unadjusted,Dollars,81,thousands,3,v52367471,4.25.1,25310,A,,,0
Sep-19,Nova Scotia,2016A000212,General merchandise stores [452],Unadjusted,Dollars,81,thousands,3,v52367472,4.26.1,156681,A,,,0
Sep-19,Nova Scotia,2016A000212,Department stores [4521],Unadjusted,Dollars,81,thousands,3,v52367473,4.27.1,,x,,,0
